,Toode,Hind
304,"Õun Ligol, kg","2,49 €  9,96 €/kg "
305,"Mahe kartul, 1 kg","1,99 €  13,27 €/kg "
306,"Valge melon, kg","3,49 €  3,49 €/kg "
307,Avokaado lõikur,"1,39 €  1,39 €/kg "
308,"Mahe hapukapsas ämbris, 900 g","2,99 €  2,99 €/kg "
309,"Banaan punane, kg","3,99 €  3,99 €/tk "
310,"Värviline peet, 700 g","4,69 €  5,21 €/kg "
311,"Marja mix, 130 g","3,99 €  3,99 €/kg "
312,"Kirsstomat kollane, 250 g","1,29 €  1,84 €/kg "
313,"Rooma salat, kg","3,99 €  30,69 €/kg "
314,"Apelsini ökosmuuti, FRUUTI, 750 ml","9,99 €  13,32 €/l "
315,"Supersmuuti mango-banaani-peedi, AURA, 330g","4,79 € 6,39 €/l "
316,"Supersmuuti kookose-ananassi-banaani, AURA, 330g","37,90 € 50,53 €/l "
317,"Õuna sidruni piparmündi värskelt pressitud mahl, KADARBIKU KÖÖGIVILI, 750 ml","9,99 € 13,32 €/l "
318,"Apelsini õuna värskelt pressitud mahl, KADARBIKU KÖÖGIVILI, 750 ml","7,99 € 10,65 €/l "
319,"Avokaado värskelt pressitud mahl, KADARBIKU KÖÖGIVILI, 750 ml","10,49 € 13,99 €/l "
320,"Tomat Mar Azul pakendatud, 300 g","4,99 € 6,65 €/l "
321,"Kirsstomat Mix, 500g","4,99 € 6,65 €/l "
322,"Ploomtomat karbis, 500g","2,99 €  9,97 €/kg "
323,"Dattel Medjoul eksklusiivne, 400 g","4,39 €  8,78 €/kg "
324,"Kirsstomat punane, 250 g","1,59 € 3,18 €/kg "
325,"Mini roomasalat, 200 g","1,89 € 3,78 €/kg "
326,"Kukeseened soolatud, EESTI AND, 500 g","4,99 €  12,48 €/kg "
327,"Mahe roheline sibul, 100 g","1,29 €  5,16 €/kg "
328,"Kartul Jõgeva Kollane, 2 kg","1,49 €  7,45 €/kg "
329,"Tsillipiparde mix Spice planet, 75 g","4,99 €  9,98 €/l "
330,"Hapukapsas, 1 kg","1,89 €  18,90 €/kg "
331,"Hapukapsas Sagro, 500 g","1,79 €  0,90 €/kg "
332,"Soolakurgid punase tšilliga, 300g","2,29 €  30,53 €/kg "
333,"Sidrun ja laim võrgus, 500 g","1,29 €  1,29 €/kg "
334,"Kimchi salat, 450 g","0,99 €  1,98 €/kg "
335,"Ploom punane Ruby Sun, kg","1,59 €  5,30 €/kg "
336,"Minikartul pestud, 1 kg","3,99 €  7,98 €/kg "
337,"Apelsinimahl viljalihaga, FRUUTI, 750 ml","19,99 €  28,56 €/l "
338,"Smuuti Mango, orgaaniline, HUMBLE, 300 ml","15,99 €  31,98 €/l "
339,"Smuuti kiivi ja spinati, orgaaniline, HUMBLE, 300 ml","15,99 €  31,98 €/l "
340,"Smuuti ananassi ja kookose, orgaaniline, HUMBLE, 300 ml","15,99 € 22,84 €/l "
341,"Smuuti maasika ja marja, orgaaniline, HUMBLE, 300 ml","21,90 € 31,29 €/l "
342,"Supersmuuti Astelpaju-Porgandi-Mango, AURA SMUUTI, 330 ml","1,39 € 5,56 €/l "
343,"Ingveri Shot, FRANKLY, 60 ml","7,99 € 15,98 €/l "
344,"Ingveri, kurkumi ja tšilli Shot, FRANKLY, 60 ml","8,99 € 17,98 €/l "
